Sample,Family ID,Population,Population Description,Gender,Relationship,Unexpected Parent/Child ,Non Paternity,Siblings,Grandparents,Avuncular,Half Siblings,Unknown Second Order,Third Order,Other Comments
HG02317,BB27,ACB,African Caribbean in Barbados,male,father,,,,,,,,,
HG02318,BB27,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,
HG02322,BB28,ACB,African Caribbean in Barbados,female,,,,,,,,,,
HG02323,BB29,ACB,African Caribbean in Barbados,male,,,,,,,,,,
HG02325,BB30,ACB,African Caribbean in Barbados,female,,,,,,,,,,
HG02330,BB33,ACB,African Caribbean in Barbados,male,,,,,,,,,,
HG02332,BB16,ACB,African Caribbean in Barbados,male,,,,,,,,,,
HG02334,BB32,ACB,African Caribbean in Barbados,male,,,,,,,,,,
HG02337,BB31,ACB,African Caribbean in Barbados,female,,,,,,,,,,
HG02339,BB34,ACB,African Caribbean in Barbados,female,,,,,,,,,,
HG02343,BB35,ACB,African Caribbean in Barbados,male,,,,,,,,,,
HG02345,PEL56,PEL,"Peruvian in Lima, Peru",female,mother,,,,,,,,,
HG02348,PEL57,PEL,"Peruvian in Lima, Peru",female,mother,,,,,,,,,
HG02351,HG02351,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02353,HG02353,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,HG02363,,
HG02355,HG02355,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02356,HG02356,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02358,HG02358,CDX,"Chinese Dai in Xishuangbanna, China",male,unrel,,,,,,,,,
HG02360,HG02360,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02364,HG02364,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02367,HG02367,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02371,CDX2,CDX,"Chinese Dai in Xishuangbanna, China",male,,HG02372,,,,,,,,
HG02373,HG02373,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,HG02381,,,,,,
HG02374,HG02374,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02375,HG02375,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,HG02388,,
HG02379,HG02379,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02380,HG02380,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02382,HG02382,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02383,HG02383,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02384,HG02384,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02385,HG02385,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02386,HG02386,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,HG02387,,
HG02389,HG02389,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02390,HG02390,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02391,HG02391,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02392,HG02392,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02394,HG02394,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02395,HG02395,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02396,HG02396,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02397,HG02397,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02398,HG02398,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02399,HG02399,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02401,HG02401,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02402,HG02402,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02405,HG02405,CDX,"Chinese Dai in Xishuangbanna, China",male,unrel,,,,,,,,,
HG02406,HG02406,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02407,HG02407,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02408,HG02408,CDX,"Chinese Dai in Xishuangbanna, China",male,unrel,,,,,,,,,
HG02409,HG02409,CDX,"Chinese Dai in Xishuangbanna, China",male,,,,,,,,,,
HG02410,HG02410,CDX,"Chinese Dai in Xishuangbanna, China",male,unrel,,,,,,,,,
HG02419,BB36,ACB,African Caribbean in Barbados,female,,,,,,,,,,
HG02420,BB37,ACB,African Caribbean in Barbados,male,father,,,,,,,,,
HG02425,PEL59,PEL,"Peruvian in Lima, Peru",female,mother,,,,,,,,,
HG02427,BB37,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,
HG02429,BB39,ACB,African Caribbean in Barbados,male,,,,,,,,,,
HG02433,BB41,ACB,African Caribbean in Barbados,male,,,,,,,,,,
HG02436,BB40,ACB,African Caribbean in Barbados,male,,,,,,,,,,
HG02439,BB42,ACB,African Caribbean in Barbados,male,father,,,,,,,,,
HG02442,BB43,ACB,African Caribbean in Barbados,male,,,,,,,,,,
HG02445,BB44,ACB,African Caribbean in Barbados,male,,,,,,,,,,
HG02449,BB46,ACB,African Caribbean in Barbados,male,father,,,,,,,,,
HG02450,BB46,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,
HG02455,BB48,ACB,African Caribbean in Barbados,male,father,,,,,,,,,
HG02461,GB15,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02462,GB15,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02464,GB16,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02465,GB16,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02470,BB49,ACB,African Caribbean in Barbados,male,,,,,,,,,,
HG02471,BB49,ACB,African Caribbean in Barbados,female,,,,,,,,,,
HG02476,BB51,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,
HG02477,BB52,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,
HG02479,BB53,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,
HG02481,BB54,ACB,African Caribbean in Barbados,male,father,,,,,,,,,
HG02484,BB55,ACB,African Caribbean in Barbados,male,father,,,,,,,,,
HG02485,BB55,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,
HG02489,BB45,ACB,African Caribbean in Barbados,male,,,,,,,,,,
HG02490,PK06,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02491,PK06,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02493,PK07,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02494,PK07,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02496,BB57,ACB,African Caribbean in Barbados,male,,,,,,,,,,
HG02497,BB57,ACB,African Caribbean in Barbados,female,,,,,,,,,,
HG02501,BB58,ACB,African Caribbean in Barbados,male,father,,,,,,,,,
HG02502,BB58,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,
HG02505,BB59,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,
HG02508,BB60,ACB,African Caribbean in Barbados,female,,,,,,,,,,
HG02511,BB56,ACB,African Caribbean in Barbados,female,,,,,,,,,,
HG02512,VN087,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,father,,,,,,,,,
HG02513,VN087,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,mother,,,,,,,,,
HG02521,VN090,KHV,"Kinh in Ho Chi Minh City, Vietnam",male,father,,,,,,,,,
HG02522,VN090,KHV,"Kinh in Ho Chi Minh City, Vietnam",female,mother,,,,,,,,,
HG02536,BB61,ACB,African Caribbean in Barbados,male,father,,,,,,,,,
HG02537,BB61,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,
HG02541,BB63,ACB,African Caribbean in Barbados,male,father,,,,,,,,,
HG02545,BB64,ACB,African Caribbean in Barbados,male,father,,,,,,,,,
HG02546,BB64,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,
HG02549,BB65,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,
HG02554,BB67,ACB,African Caribbean in Barbados,male,father,,,,,,,,,
HG02555,BB67,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,
HG02557,BB68,ACB,African Caribbean in Barbados,male,father,,,,,,,,,
HG02558,BB68,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,
HG02561,GB18,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02562,GB18,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02568,GB20,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02570,GB21,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02571,GB21,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02573,GB22,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02574,GB22,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02577,BB69,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,
HG02580,BB70,ACB,African Caribbean in Barbados,female,mother,,,,,,,,,
HG02582,GB23,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02583,GB23,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02585,GB24,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02586,GB24,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02588,GB25,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02589,GB25,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02594,GB27,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02595,GB27,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02597,PK08,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02600,PK09,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02601,PK09,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02603,PK10,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02604,PK10,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02610,GB28,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,HG02624,
HG02611,GB28,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02613,GB29,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02614,GB29,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02620,GB31,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02621,GB31,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02623,GB32,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,"HG02624, HG02610, HG02666 ",
HG02624,GB32,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02628,GB33,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02629,GB33,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02634,GB35,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02635,GB35,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02642,GB37,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02643,GB37,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02645,GB38,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02646,GB38,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02648,PK11,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02649,PK11,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02651,PK12,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02652,PK12,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02654,PK13,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02655,PK13,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02657,PK14,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02658,PK14,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02660,PK15,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02661,PK15,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02666,GB40,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,"HG02666, HG02624",
HG02667,GB40,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02675,GB43,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02676,GB43,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02678,GB44,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02679,GB44,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02681,PK16,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,HG02682,
HG02682,PK16,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,HG02681,
HG02684,PK17,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02685,PK17,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02687,PK18,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,HG03705,
HG02688,PK18,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02690,PK19,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02691,PK19,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02694,PK20,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02696,PK21,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02697,PK21,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02699,PK22,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,HG02700,
HG02700,PK22,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,HG02699,
HG02702,GB45,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02703,GB45,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02715,GB50,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02716,GB50,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02721,GB52,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02722,GB52,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02724,PK23,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02725,PK23,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02727,PK24,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02728,PK24,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02731,PK25,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02733,PK26,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02734,PK26,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02736,PK27,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02737,PK27,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02756,GB53,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02757,GB53,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02759,GB54,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02760,GB54,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02763,GB55,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02768,GB57,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02769,GB57,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02771,GB58,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02772,GB58,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02774,PK28,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02775,PK28,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02778,PK29,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02780,PK30,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02783,PK31,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02784,PK31,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02786,PK32,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02787,PK32,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02789,PK33,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02790,PK33,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02792,PK34,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG02793,PK34,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG02798,GB60,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02799,GB60,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02804,GB62,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02805,GB62,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02807,GB63,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02808,GB63,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02810,GB64,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02811,GB64,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02813,GB65,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02814,GB65,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02816,GB66,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02817,GB66,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02819,GB67,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02820,GB67,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02836,GB73,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02837,GB73,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02839,GB74,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02840,GB74,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02851,GB78,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02852,GB78,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02854,GB79,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02855,GB79,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02860,GB81,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02861,GB81,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02870,GB84,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02878,GB87,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02879,GB87,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02881,GB88,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02882,GB88,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02884,GB89,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02885,GB89,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02887,GB90,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02888,GB90,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02890,GB91,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02891,GB91,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02895,GB93,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02896,GB93,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG02922,NG06,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG02923,NG06,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG02938,NG11,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG02941,NG12,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG02943,NG13,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG02944,NG13,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG02946,NG14,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG02947,NG14,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG02952,NG16,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG02953,NG16,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG02968,NG21,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG02970,NG22,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG02971,NG22,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG02973,NG23,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG02974,NG23,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG02976,NG24,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG02977,NG24,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG02979,NG25,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG02981,NG25,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG02982,GB97,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG02983,GB97,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG03006,BD01,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03007,BD01,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03009,HG03009,BEB,Bengali in Bangladesh,male,unrel,,,,,,,,,
HG03012,BD3,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03015,PK35,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG03016,PK35,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03018,PK36,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG03019,PK36,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03021,PK37,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG03022,HG03022,PJL,"Punjabi in Lahore,Pakistan",female,unrel,,,,,,,,,
HG03024,GB105,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG03025,GB105,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG03027,GB106,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG03028,GB106,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG03039,GB110,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG03040,GB110,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG03045,GB112,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG03046,GB112,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG03048,GB113,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG03049,GB113,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG03052,SL01,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03054,SL02,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03055,SL02,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03057,HG03057,MSL,Mende in Sierra Leone,male,unrel,,,,,,,,,
HG03058,SL03,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03060,HG03060,MSL,Mende in Sierra Leone,male,unrel,,,,,,,,,
HG03061,SL04,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03063,SL05,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03064,SL05,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03066,SL06,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03069,SL07,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03072,SL08,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03073,SL08,MSL,Mende in Sierra Leone,female,mother,,,,,,,,HG03097,
HG03074,HG03074,MSL,Mende in Sierra Leone,male,unrel,,,,,,,,,
HG03077,HG03077,MSL,Mende in Sierra Leone,male,unrel,,,,,,,,,
HG03078,HG03078,MSL,Mende in Sierra Leone,male,unrel,,,,,,,,,
HG03079,SL10,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03081,SL11,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03082,SL11,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03084,HG03084,MSL,Mende in Sierra Leone,male,unrels,,,,,,,,,
HG03085,HG03085,MSL,Mende in Sierra Leone,female,unrels,,,,,,,,,
HG03086,HG03086,MSL,Mende in Sierra Leone,female,unrel,,,,,,,,,
HG03088,SL13,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03091,SL14,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03095,SL15,MSL,Mende in Sierra Leone,female,child,,,,,,,,,
HG03096,SL16,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03097,SL16,MSL,Mende in Sierra Leone,female,mother,,,,,,,,HG03073,
HG03099,NG26,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03100,NG26,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03103,NG27,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03105,NG28,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03108,NG29,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03109,NG29,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03111,NG30,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03112,NG30,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03114,NG31,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03115,NG31,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03117,NG32,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03118,NG32,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03120,NG33,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03121,NG33,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03123,NG34,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03124,NG34,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03126,NG35,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03127,NG35,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03129,NG36,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03130,NG36,ESN,Esan in Nigeria,male,father,,,,,,,,,
